spanish	english
el aceite	oil
las aceitunas	olives
el agua (mineral)	(mineral) water
ahogarse	to choke
el ajo	garlic
el alioli	aioli (garlic mayonnaise)
el almuerzo	lunch
el arroz	rice
las arvejas	peas
el atún	tuna
el azúcar	sugar
la banana	banana
la bebida	drink
el bistec	steak
el boquerón	anchovy
¡Buen provecho!	Enjoy your meal!
el café	coffee
el calamar	calamari (squid)
el/la camarero/a	waiter/waitress
los camarones	shrimp
la carne	meat
la carne de res	beef
la cebolla	onion
la cena	dinner
los cereales	cereal; grains
la cerveza	beer
el champiñón	mushroom
la chuleta (de cerdo)	(pork) chop
la comida	food; meal
como	like; as
la croqueta	croquette
delicioso/a	delicious
el desayuno	breakfast
el/la dueño/a	owner
la ensalada	salad
los entremeses	hors d'oeuvres; appetizers
escoger	to choose
los espárragos	asparagus
los frijoles	beans
las frutas	fruit
el gazpacho	cold tomato soup
la hamburguesa	hamburger
el huevo	egg
el jamón	ham
el jugo (de fruta)	(fruit) juice
la langosta	lobster
la leche	milk
la lechuga	lettuce
el limón	lemon
el maíz	corn
la maniobra de Heimlich	Heimlich maneuver
la mantequilla	butter
la manzana	apple
la margarina	margarine
los mariscos	shellfish
más de (+ number)	more than
más… que	more… than
la mayonesa	mayonnaise
el/la mayor	the oldest
el/la mejor	the best
mejor	better
el melocotón	peach
el/la menor	the youngest
menos de (+ number)	fewer than
menos… que	less… than
el menú	menu
merendar (e:ie)	to snack
morir (o:ue)	to die
la naranja	orange
el pan (tostado)	(toasted) bread
las papas/patatas (fritas)	(fried) potatoes; French fries
el pavo	turkey
pedir (e:i)	to order (food)
el/la peor	the worst
peor	worse
la pera	pear
el pescado	fish
la pimienta	black pepper
el plato (principal)	(main) dish
el pollo (asado)	(roast) chicken
probar (o:ue)	to taste; to try
el queso	cheese
recomendar (e:ie)	to recommend
el refresco	soft drink; soda
rico/a	tasty; delicious
saber (a)	to taste (like)
sabroso/a	tasty; delicious
la sal	salt
la salchicha	sausage
el salmón	salmon
el sándwich	sandwich
la sección de (no) fumar	(non) smoking section
servir (e:i)	to serve
la sopa	soup
tan… como	as… as
tanto… como	as much… as
tantos/as… como	as many… as
el té (helado)	(iced) tea
tirar	to throw
el tomate	tomato
la tortilla	omelet (in Spain)
la uva	grape
las verduras	vegetables
el vinagre	vinegar
el vino (blanco/tinto)	(white/red) wine
la vitrina	display case/window
el yogur	yogurt
la zanahoria	carrot
